id;date;amount;category;mode;reference;notes;deleted;created_at;updated_at
1;2026-04-20T06:42:41;3646.14;nucleotidase midst;BANK;lest fog;knickers mammoth scary;true;2026-04-20T04:17:04;2026-04-19T15:10:33
2;2026-04-19T12:09:08;5791.93;though whose;UPI;accompany;joint eek psst;false;2026-04-19T17:48:26;2026-04-19T11:20:56
3;2026-04-20T03:51:51;11031.35;intensely;BANK;ultimate;satirise;false;2026-04-19T22:29:15;2026-04-19T10:28:12
4;2026-04-19T23:09:42;25061.25;hovercraft;CASH;knowledgeable witty wobbly;luck waft along;false;2026-04-19T19:38:12;2026-04-20T08:12:33
5;2026-04-19T23:21:54;28779.63;psst steep;CASH;willow;windy quaff for;true;2026-04-20T05:35:18;2026-04-19T22:53:12
6;2026-04-20T04:04:52;16177;vol if;UPI;meh strange;censor fork;false;2026-04-19T10:53:14;2026-04-20T07:01:59
7;2026-04-20T03:11:16;650.49;anenst;BANK;outfit milestone;ugh;false;2026-04-19T13:09:49;2026-04-19T10:57:53
8;2026-04-20T00:36:15;10427.13;during preheat;CASH;stigmatize viciously;foolish;true;2026-04-20T00:53:34;2026-04-19T17:04:36
9;2026-04-19T17:20:46;14219.99;meh during squid;UPI;enroll;between freely;true;2026-04-19T15:43:42;2026-04-19T12:56:16
10;2026-04-19T18:15:44;31572.03;out;CASH;midst;bruised without out;true;2026-04-20T02:25:54;2026-04-19T10:42:57
11;2026-04-20T02:09:05;17083.22;yippee draft;BANK;insidious perfectly woot;strictly helpfully;true;2026-04-19T10:04:17;2026-04-19T22:13:32
12;2026-04-19T18:26:23;7467.79;spew unwieldy;UPI;thongs wearily private;offset;true;2026-04-19T19:57:15;2026-04-20T02:50:59
13;2026-04-19T12:16:32;6554.56;mechanically joyous unripe;UPI;equally if;yowza pish;false;2026-04-20T01:40:35;2026-04-19T17:53:59
14;2026-04-20T04:02:20;21698.46;foolishly rapid;CASH;brightly paltry;provided even lumbering;false;2026-04-20T01:22:25;2026-04-19T15:26:44
15;2026-04-19T09:36:19;12010.61;cheese;UPI;worth;even consequently;false;2026-04-19T20:53:56;2026-04-20T03:15:34
16;2026-04-19T18:34:10;7182.63;separately short eek;CASH;pfft shipper rubbery;weakly;false;2026-04-19T23:29:49;2026-04-20T03:54:53
17;2026-04-19T11:30:29;21221.98;malfunction officially;BANK;accredit actual;provided as;true;2026-04-19T22:33:23;2026-04-19T16:51:13
18;2026-04-19T21:45:55;22323.26;although understanding extricate;UPI;short deprave since;overtrain;false;2026-04-20T03:50:44;2026-04-20T00:34:03
19;2026-04-19T15:19:37;32062.21;whose sinful;BANK;atop reapply;woot;false;2026-04-20T00:04:59;2026-04-19T14:51:34
20;2026-04-20T02:44:11;29833.7;gnaw meh whereas;UPI;dearly yearly;coolly;true;2026-04-19T12:10:58;2026-04-19T18:40:16
21;2026-04-20T01:19:49;8801.53;dowse lumpy psst;UPI;rapidly voluntarily lest;butter athwart of;false;2026-04-19T18:40:46;2026-04-20T06:49:38
22;2026-04-19T11:32:47;1125.63;boss redraw;UPI;wonderful which;mill duffel plump;false;2026-04-19T19:42:46;2026-04-19T11:10:03
23;2026-04-20T02:02:59;21064.84;meanwhile phooey;CASH;beneath;drat cross-contamination meanwhile;true;2026-04-19T22:28:37;2026-04-19T18:27:29
24;2026-04-19T10:25:02;9928.48;scarper;CASH;wherever integer hopelessly;lest um;true;2026-04-19T10:55:23;2026-04-19T13:46:57
25;2026-04-20T03:19:55;28587.5;against;UPI;pretend incidentally that;yearningly ring;false;2026-04-20T02:18:28;2026-04-19T22:23:51
26;2026-04-19T11:16:59;12299.76;gah;UPI;from;jogging;false;2026-04-20T01:20:56;2026-04-19T17:49:45
27;2026-04-19T18:11:41;31412.69;eek grimy hyena;UPI;insolence gadzooks gigantic;intent faraway;false;2026-04-20T01:28:56;2026-04-19T21:21:49
28;2026-04-19T20:23:08;7692.04;successfully;UPI;yuck;whose footrest wrongly;true;2026-04-19T16:26:33;2026-04-20T05:52:00
29;2026-04-20T01:52:25;24924.74;if astonishing big;BANK;brace pro seagull;yet;true;2026-04-19T09:44:46;2026-04-19T09:51:59
30;2026-04-19T21:05:07;20486.12;inside;UPI;what cruelly;crank throughout;false;2026-04-20T03:11:52;2026-04-19T17:56:23
