id;number;date;due_date;payment_terms_days;party_name;party_state;business_state;subtotal;item_discount_total;overall_discount_kind;overall_discount_value;overall_discount_amount;taxable_value;cgst;sgst;igst;tax_total;total;paid_amount;status;kind;source_invoice_id;notes;terms;finalized_at;deleted;created_at;updated_at
1;valentine luck unto;2026-04-20T04:57:11;2026-04-19T14:43:21;3079;posh;save if ostrich;ugh;8304.58;26497.35;PERCENT;15018.06;12303.7;17353.8;26265.38;25325.72;30034.81;9475.24;3840.47;31800.77;DRAFT;INVOICE;2941;in vivaciously hammock;fat unless meanwhile;2026-04-19T12:49:10;true;2026-04-20T03:40:59;2026-04-19T19:59:12
2;till young how;2026-04-20T08:56:46;2026-04-19T13:02:05;738;before phew;irritably anenst divert;given;1753.84;26949.33;AMOUNT;10854.09;25455.99;16290.66;16771.21;15316.26;4440.73;25052.92;19921.76;26386.04;FINAL;CREDIT_NOTE;15906;incidentally per;ocelot;2026-04-19T14:17:38;false;2026-04-20T04:27:00;2026-04-20T05:55:35
3;whether quirkily;2026-04-19T20:09:44;2026-04-19T22:41:05;2626;although blah;safe;which excepting;13372.66;15422.67;PERCENT;31377.66;31320.58;17834.41;8220.56;13811.57;21101.32;12344.07;12081.34;16047.64;FINAL;INVOICE;20292;remand;than;2026-04-19T12:16:19;true;2026-04-19T14:46:37;2026-04-19T14:15:00
4;bah joshingly decide;2026-04-20T06:58:19;2026-04-20T06:32:54;2513;trivial;frantically to guide;across;4190.78;15234.14;PERCENT;1594.84;23142.4;17801.72;30032.64;27616.11;7270.01;25079.92;1639.91;30444.99;DRAFT;CREDIT_NOTE;25442;evil;between;2026-04-19T15:31:02;true;2026-04-19T10:16:59;2026-04-19T12:01:47
5;energetically;2026-04-20T03:48:24;2026-04-19T11:06:14;760;hello;aha testimonial remand;after positively yahoo;3984.34;2896.02;PERCENT;27678.47;6150.23;10427.17;22861.44;2712.83;725.16;11843.54;24771.87;5299.78;FINAL;CREDIT_NOTE;25279;brace bookcase where;up tool;2026-04-19T14:13:48;true;2026-04-19T13:44:05;2026-04-19T10:15:08
6;plastic almost midst;2026-04-19T14:32:58;2026-04-19T21:49:55;973;inasmuch instead;nifty sticky zowie;never mixed why;686.11;3652.94;PERCENT;5084.8;11793.28;261.55;15696.74;25767.03;17274.35;4400.45;17196.06;15384.88;CANCELLED;INVOICE;22975;ownership thorny;fake psst;2026-04-20T03:59:27;true;2026-04-20T06:08:37;2026-04-20T09:04:23
7;abaft;2026-04-19T17:03:27;2026-04-19T23:52:11;85;whoever;rationale starch testimonial;bicycle well-lit;30140.35;12156.54;PERCENT;4833.3;7719.4;29887.36;17539.33;13965.15;26995.67;872.02;6517.73;23724.95;FINAL;INVOICE;2896;pry excluding clamp;odd;2026-04-19T19:01:58;true;2026-04-19T22:57:18;2026-04-20T05:03:08
8;gadzooks;2026-04-19T23:18:20;2026-04-19T12:23:27;506;solemnly dusk zowie;pro noxious sweetly;ouch anxiously;26292.2;21905.56;AMOUNT;22662.69;10805.51;19154.9;21954.81;2519.72;2226.69;26924.82;32199.88;29018.27;DRAFT;CREDIT_NOTE;7967;sarong;muffled;2026-04-19T21:43:14;true;2026-04-19T23:53:52;2026-04-19T17:34:49
9;feather;2026-04-19T10:46:03;2026-04-19T11:08:40;988;warped under stack;sudden apud;righteously;3182.5;409.56;AMOUNT;10832.25;15308.63;11392.62;13731.51;8672.46;1069.23;12349.81;8702.28;20385.95;DRAFT;INVOICE;1793;versus;scarily;2026-04-19T19:54:00;false;2026-04-20T08:14:08;2026-04-19T10:38:48
10;ew into;2026-04-19T22:49:18;2026-04-19T16:42:09;2;that;under topsail;hungrily perfumed;23562.86;8847.23;AMOUNT;28676.86;13990.52;31903.37;6233.33;31078.45;28719.75;5113.17;31537.91;20759.72;CANCELLED;INVOICE;13555;challenge upliftingly in;mummify;2026-04-19T18:27:31;false;2026-04-19T18:32:13;2026-04-20T04:39:21
