id;name;qty;unit;rate;discount_kind;discount_value;tax_percent;line_order;invoice_id
1;off;30374.5;husk duh;13308.18;PERCENT;10627.64;77.02;27714;1
2;kielbasa unbearably;24326;selfishly;15540.89;PERCENT;1548.52;85.84;17717;2
3;hasty gee after;20300.5;that during yahoo;6408.28;PERCENT;32269.1;98.84;16167;3
4;when icebreaker recovery;30142.87;pretend;16887.25;AMOUNT;10884.08;59.03;32679;4
5;presume joyfully yowza;32030.35;uselessly;32653.79;PERCENT;13371.57;79.75;11367;5
6;afore following despite;15493.15;like;21261.3;AMOUNT;1209.59;40.23;19021;6
7;ew yawn;21047.74;uh-huh;28209.02;AMOUNT;31918.43;68.35;2087;7
8;certainly like pace;6586.47;peaceful;7891.95;AMOUNT;7558.61;24.18;2744;8
9;mmm beautifully cleverly;29861.05;keenly;25415.28;AMOUNT;19126.03;34.75;26898;9
10;deprave;1518.52;whenever ah cemetery;9809.38;PERCENT;3823.5;45.69;30529;10
11;sushi suffice provided;19479.52;or yieldingly hm;15298.22;AMOUNT;4045.24;33.48;27032;11
12;ack bleak;1226.73;legend eek brochure;28599.53;PERCENT;14556.94;53.13;14500;12
13;deployment miskey;14996.3;innocently wildly uh;8520.19;AMOUNT;19999.91;35.66;21879;13
14;lonely;29049.34;far;2159.35;AMOUNT;28819.74;43.08;3483;14
15;foolishly;24087.61;inside splash;8522.47;PERCENT;22093.39;46.37;15998;15
16;aboard ew;15313.75;miscalculate how aha;7385.72;PERCENT;16711.23;47.2;5074;16
17;than;24066.33;huzzah;28424.64;PERCENT;5110.32;46.78;11759;17
18;brr;13499.84;near about drat;22685.63;AMOUNT;26197.94;73.9;25121;18
19;righteously;12346.94;merrily kindly;8816.55;AMOUNT;13930.04;44.05;146;19
20;less;20824.28;surprised stabilise;25040.77;PERCENT;29791.55;25.79;12907;20
21;slip of because;32749.35;frightfully beautifu;31089.97;PERCENT;4395.66;0.77;13742;21
22;during when;29408.23;upright;7489.09;AMOUNT;10847.78;74.93;24513;22
23;outside where;30047.99;abaft decent;4979.91;PERCENT;266.9;42.87;3965;23
24;ack guzzle institutionalize;3382.78;affiliate upright;20290.52;AMOUNT;19376.21;83.45;6450;24
25;consequently standard mmm;350.58;among;30733.15;AMOUNT;24757.96;71.34;5463;25
26;furthermore bleakly nor;10651.14;rudely upbeat dress;31622.76;PERCENT;28960.13;40.52;11206;26
27;always;7008.62;formal whenever;21390.21;PERCENT;8103.75;24.93;322;27
28;nor on;16999.6;oh so;11580.16;AMOUNT;14710.83;82.8;28248;28
29;lively;16644.52;convection inconsequ;30903.66;AMOUNT;15306.2;23.52;26507;29
30;ugh between;29033.65;that;26564.66;PERCENT;15638.94;75.46;24810;30
