id;name;sku;type;selling_price;purchase_price;tax_percent;unit;active;deleted;description;opening_stock;reorder_level;created_at;updated_at
1;fuel dirty apropos;swordfish flu pish;finally seafood whenever;4788.02;7551.74;39.15;hurtful masterpiece ;false;true;glorious why thongs;16540.42;14018.73;2026-04-19T09:25:59;2026-04-19T19:53:13
2;encode fooey;the;searchingly;15584.52;29503.5;63.94;wherever safe;false;true;yet dish;23643.36;1991.07;2026-04-19T14:35:16;2026-04-19T23:49:02
3;sedately;ack per eek;playfully;20980.66;29854.09;26.14;goose inside;false;true;onto modulo where;14553.18;4713;2026-04-19T19:01:02;2026-04-20T06:46:37
4;unless;roundabout provided whoa;dicker hold;3108.77;12287.35;90.95;vamoose pip;false;true;anti abnormally and;13400.97;3791.19;2026-04-19T14:43:50;2026-04-19T13:59:05
5;spectate following incidentally;aha huge;dock;9844.88;3919.96;95.5;underachieve boohoo ;false;false;aw mooch;20137.47;13020.66;2026-04-19T16:36:29;2026-04-20T02:40:37
6;mom before;topsail rim;fen swill;2499.66;15945.63;12.51;yak celsius;true;true;forenenst square and;18602.77;12039.79;2026-04-19T21:22:54;2026-04-20T01:18:58
7;sandbar;daintily develop;mosh switch;21372.69;3881.28;51.54;closely nor;true;true;very;583.94;15265.42;2026-04-19T23:45:42;2026-04-20T07:32:56
8;deduct help sleepy;orderly;surface carefree;17310.73;4214.68;3.99;whoa;true;false;than in cruelty;19455.21;19542.26;2026-04-19T21:36:34;2026-04-20T03:51:57
9;with;the;out not yuck;5199.77;17444.78;30.22;sprinkles;true;true;delightfully utterly;3979.2;29538.45;2026-04-20T09:00:52;2026-04-19T17:03:34
10;jot brr display;pupil whenever;into;9110.79;31778.02;36.39;safeguard;false;true;worriedly;13914.14;27961.62;2026-04-19T12:04:48;2026-04-19T22:17:14
11;tensely unripe;reopen govern;until;31482.79;6261.44;39.82;woot draft;true;false;that smoggy;25710.08;32672.34;2026-04-19T14:04:32;2026-04-19T11:00:58
12;woot procrastinate;eek trim tame;truly likewise pfft;12215.67;6115.16;77.74;boohoo treasure next;true;true;pace whether;30307.92;7250.97;2026-04-20T05:14:38;2026-04-19T09:26:43
13;ultimately woefully whose;likewise consequently;yippee anguished entwine;30956.24;19912.8;71.9;airline zowie advanc;false;false;till biodegrade frantically;4104.26;31358.88;2026-04-19T10:04:53;2026-04-20T02:22:17
14;pity considerate;manner;jubilantly into;31003.97;22943.92;80.06;brightly yum despite;true;false;afterwards;17179.96;19806.54;2026-04-19T15:27:34;2026-04-19T21:15:44
15;whoa;corny even;boohoo pick;30670.07;13859.33;62.01;lone micromanage;false;true;since;30887.82;17887.24;2026-04-19T21:36:54;2026-04-19T20:48:04
16;since quickly boohoo;gadzooks;revere than while;29512.14;29396.19;6.86;sweet partially inas;true;true;depot;17250.52;21142.08;2026-04-19T09:36:01;2026-04-19T17:07:10
17;scarcely inasmuch ouch;tense hefty;upward brr underneath;8047.79;19944.17;2.14;hypothesise academic;false;false;excitable uh-huh;19408.79;15894.12;2026-04-20T02:41:23;2026-04-19T10:21:00
18;ah;greatly fooey not;bah along taxicab;25291.85;10549.15;86.82;bah er whoever;true;true;if intermesh;32679.26;17.01;2026-04-19T23:54:04;2026-04-19T12:11:33
19;never awkwardly;mantua;pfft zen which;32686.31;7994.72;73.38;provided likewise;false;false;idolized yuck;2693.62;32586.91;2026-04-20T08:38:30;2026-04-19T17:42:44
20;actually tighten;supposing than courageously;atop vaguely;510.72;16946.15;54.69;incidentally upwardl;false;false;absent lumbering um;26057.88;15096.59;2026-04-20T06:16:49;2026-04-19T15:13:57
21;pantyhose;inside hm;hammock;28831.91;10371.49;49.23;scuffle gah;false;true;misguided;13502.73;11348.63;2026-04-20T05:32:07;2026-04-19T11:59:48
22;that;ha what duh;outstanding;809.4;27400.47;21.34;sense slake spork;true;false;unless;6964.46;9140.7;2026-04-19T12:16:52;2026-04-19T15:59:00
23;intermarry;during;sunder;21742.24;1172.59;13.38;knottily;true;false;unfinished better from;13399.19;26343.46;2026-04-19T22:19:42;2026-04-19T22:46:23
24;whitewash tragic powerfully;unearth rawhide;like;26138.99;8255.43;32.98;that;true;true;overfeed that impolite;18697.7;15510.29;2026-04-19T23:00:04;2026-04-19T14:12:24
25;flight;mid outside steel;solution;21047.84;25315.31;9.13;pension now times;true;true;puff notwithstanding thankfully;7868.26;27981.01;2026-04-19T20:06:26;2026-04-20T02:49:14
26;phooey between;enthusiastically helpless;than;15256.47;1579.57;29.87;shameful;true;false;meh psst rapid;19182.93;21890.37;2026-04-20T02:04:15;2026-04-19T23:07:17
27;accountability round;likewise ouch simple;front infamous considering;31349.6;6949.6;59.45;forgery;true;false;ah;19791.25;6880.44;2026-04-20T01:42:01;2026-04-20T07:37:42
28;considerate metallic;before strong;abaft foolishly per;13370.09;20427.72;64.69;machine offset;true;true;institute upon fuel;14909.79;31813.43;2026-04-19T22:14:14;2026-04-19T15:17:52
29;longingly nearly conversation;finally;dependency during;11205.76;1460.12;0.24;sate doubtfully whoa;false;true;handle;27233.05;18521.73;2026-04-19T23:32:56;2026-04-20T07:47:34
30;gloom;huzzah academics handsome;unwilling furthermore um;28335.64;9716.52;41.32;um hmph;false;false;er;8635.64;15721.97;2026-04-20T02:41:52;2026-04-19T12:57:42
