id;direction;date;amount;mode;reference;notes;created_at;updated_at
1;IN;2026-04-20T03:31:41;8378.36;UPI;hm mob;phew but huzzah;2026-04-19T09:22:49;2026-04-19T23:35:50
2;IN;2026-04-20T05:51:51;13746.64;CASH;pine repeat triangular;worriedly what earnest;2026-04-20T02:56:04;2026-04-20T03:25:24
3;IN;2026-04-19T15:06:52;13692.48;CASH;paltry delightfully fumigate;consequently rekindle;2026-04-19T18:12:11;2026-04-20T02:45:16
4;IN;2026-04-19T23:43:53;970.88;CASH;eventually;eek;2026-04-20T07:21:58;2026-04-19T22:02:59
5;IN;2026-04-19T14:48:31;29282.97;CASH;kindheartedly hippodrome lest;crooked ew;2026-04-19T17:56:09;2026-04-19T19:28:00
6;OUT;2026-04-19T20:15:55;23495.58;BANK;famously punctually into;zowie passionate;2026-04-19T22:43:43;2026-04-19T11:26:32
7;OUT;2026-04-20T07:52:44;24018.14;UPI;off supposing;usefully;2026-04-20T02:41:44;2026-04-20T03:29:21
8;IN;2026-04-20T04:44:21;22787.62;BANK;excited;fledgling;2026-04-20T00:06:21;2026-04-19T22:58:57
9;OUT;2026-04-19T12:55:37;15930.21;UPI;throughout cultivated;investigate;2026-04-20T08:28:16;2026-04-19T16:47:48
10;IN;2026-04-20T02:36:35;4270.61;CASH;afraid elderly ha;rosin prestigious;2026-04-19T10:08:02;2026-04-19T19:12:51
11;IN;2026-04-19T13:56:03;10928.98;UPI;perspire replicate;functional except lift;2026-04-19T14:26:06;2026-04-19T21:04:52
12;IN;2026-04-20T06:52:18;16972.27;UPI;highlight make;unless;2026-04-20T04:23:03;2026-04-20T08:38:15
13;OUT;2026-04-20T06:40:36;29141.37;UPI;enormously however phooey;even put why;2026-04-19T17:43:53;2026-04-20T01:03:38
14;IN;2026-04-19T16:17:26;23470.66;CASH;while;director shrill now;2026-04-19T14:31:06;2026-04-20T06:52:59
15;OUT;2026-04-19T20:30:05;3080.37;UPI;questionably hopelessly ape;truly given merrily;2026-04-19T12:10:17;2026-04-20T04:19:38
16;OUT;2026-04-20T02:48:44;24079.98;CASH;given secondary before;lace humiliating;2026-04-20T06:17:22;2026-04-19T20:59:24
17;IN;2026-04-20T07:10:49;21134.59;BANK;embody although moor;regarding cheetah baptise;2026-04-20T01:30:15;2026-04-19T11:59:23
18;OUT;2026-04-19T19:55:09;30231.49;UPI;out voluntarily irritably;writ obedient;2026-04-19T13:23:28;2026-04-19T11:57:54
19;IN;2026-04-20T06:22:36;3728.93;BANK;victoriously around kindheartedly;or accountability;2026-04-20T02:41:03;2026-04-19T20:14:15
20;IN;2026-04-19T20:51:31;6361.42;UPI;nor nicely;reproachfully;2026-04-19T19:17:21;2026-04-20T06:01:34
21;OUT;2026-04-19T21:54:41;16677.15;CASH;amid knight;near;2026-04-20T05:42:19;2026-04-20T02:16:46
22;IN;2026-04-20T02:02:40;29928.91;CASH;furthermore;until charlatan metallic;2026-04-19T09:16:06;2026-04-20T05:06:45
23;IN;2026-04-19T15:16:05;2032.85;UPI;vanadyl avaricious;potable inspect yuck;2026-04-19T14:10:41;2026-04-19T23:21:43
24;IN;2026-04-19T22:39:48;6890.24;UPI;bah ouch tomorrow;since meh equally;2026-04-19T22:27:54;2026-04-19T12:46:42
25;OUT;2026-04-19T11:18:07;8438.16;CASH;where nor solemnly;provided badly condense;2026-04-19T21:35:48;2026-04-19T12:56:12
26;OUT;2026-04-20T02:12:55;2295.87;CASH;as;back rapidly next;2026-04-19T16:49:48;2026-04-19T16:18:19
27;OUT;2026-04-19T13:05:00;6632.02;BANK;briefly;agreeable thoughtfully concerned;2026-04-19T19:47:56;2026-04-19T11:57:50
28;IN;2026-04-20T05:34:27;27433.81;UPI;huge pro;consequently gee hunt;2026-04-19T20:23:51;2026-04-19T23:09:32
29;OUT;2026-04-19T14:18:23;9592.82;CASH;until instead;cautiously unit;2026-04-19T18:59:51;2026-04-19T12:58:25
30;OUT;2026-04-20T04:40:17;5954.09;UPI;quadruple consequently;faithfully stratify expense;2026-04-20T00:29:25;2026-04-20T00:03:05
