id;doc_id;doc_number;amount;payment_id
1;patiently;unexpectedly infinite;29213.15;1
2;outrageous lest;clonk;16457.31;2
3;pish;goodwill;8628.94;3
4;oof;whopping interchange;13766.85;4
5;hence for afraid;urban stall made-up;28902.74;5
6;helpfully hence attend;key;30807.75;6
7;if;redraw oh;24837.04;7
8;space hydrolyze pish;elegantly;25100.71;8
9;forenenst pfft pointless;against accidentally;541.31;9
10;wetly hence;sparkling numeric;19289.85;10
11;home char regarding;since now;17206.37;11
12;adventurously before;against er;22082.7;12
13;before lest onto;vanadyl caption joshingly;19807.96;13
14;whether agile where;kissingly psst cavernous;16416.79;14
15;over;wherever um;11575.01;15
16;underpants repurpose;tragic because;17986.93;16
17;dress what;across unearth;27718.13;17
18;apud spellcheck;whether uh-huh inexperienced;27970.39;18
19;er;ick;27587.94;19
20;boohoo joshingly ick;via incomparable wedding;30908.14;20
21;yet;knowingly gee yum;15630.86;21
22;uh-huh deny;hygienic;17370.46;22
23;discontinue crumble aha;however formamide gosh;4666.97;23
24;lest easily until;seemingly cook;9331.06;24
25;versus drat chubby;sock convince knife;15183.42;25
26;through;instead zowie;11823.43;26
27;fat;consequently;27121.5;27
28;onto order gadzooks;likewise following;8964.82;28
29;dearly into until;sleepy;18354.19;29
30;until;comestible worriedly;11844.66;30
