id;number;date;due_date;party_name;party_state;business_state;subtotal;item_discount_total;overall_discount_kind;overall_discount_value;overall_discount_amount;taxable_value;cgst;sgst;igst;tax_total;total;paid_amount;status;kind;source_purchase_id;notes;terms;finalized_at;deleted;created_at;updated_at
1;shell;2026-04-20T06:49:17;2026-04-19T14:46:09;regarding;minus satirize whose;vivacious which merrily;8262.62;20327.38;AMOUNT;5198.51;7901.33;13211.47;29842.28;4057.03;27036.98;10096.88;23942.76;26088.22;CANCELLED;RETURN;5592;midst whose geez;ew cycle like;2026-04-20T04:26:17;false;2026-04-19T16:54:31;2026-04-19T23:00:09
2;along prime save;2026-04-19T15:20:44;2026-04-19T09:37:04;really black brilliant;mysteriously accept;sternly;5822.03;14689.2;PERCENT;12753.65;5624.09;32082.87;4864.2;30379.77;5328.39;30.05;31939.37;11880.57;CANCELLED;PURCHASE;28162;ew fail;whenever;2026-04-20T01:52:21;true;2026-04-19T23:58:51;2026-04-19T13:53:44
3;vary synthesise technologist;2026-04-20T08:05:44;2026-04-19T16:38:55;whenever;dutiful;cleverly;22397.93;15716.04;PERCENT;15709.85;32107.43;3668.93;26569.88;1219.02;11281.88;296.05;12582.05;1425.38;DRAFT;PURCHASE;4631;mutate technologist;glimmer;2026-04-19T10:00:31;true;2026-04-20T07:53:52;2026-04-19T23:17:44
4;gah;2026-04-20T05:50:00;2026-04-19T10:38:07;shear wherever;fussy after poppy;amidst;11281.31;6518.36;AMOUNT;21827.36;28554.1;22559.11;23972.59;15269.02;19733;23415.33;14442.58;26931.99;DRAFT;RETURN;30503;diagram against;sundae;2026-04-19T20:26:18;true;2026-04-20T06:13:33;2026-04-19T14:07:54
5;than spectate;2026-04-20T02:16:59;2026-04-19T13:43:57;reassemble until save;disgorge;starch;2084.03;2294.99;PERCENT;3046.53;3697.51;16516.38;16671.67;9171.71;7951.65;13446.44;18309.48;15295.77;FINAL;RETURN;7832;regarding yawn;after;2026-04-20T03:05:21;true;2026-04-20T07:01:31;2026-04-19T21:22:56
6;mostly apud traditionalism;2026-04-19T20:47:17;2026-04-19T20:17:25;gadzooks outfox mean;for whispered pish;through negotiation;3295.17;20617.14;PERCENT;29714.47;383.78;10725.61;14629.11;14468.28;11745.27;15123.28;31680.23;6794.89;DRAFT;RETURN;31602;incidentally pish;boo miserably properly;2026-04-19T11:41:17;true;2026-04-20T07:47:43;2026-04-20T02:04:12
7;about ravel until;2026-04-19T22:49:09;2026-04-20T02:56:27;maul um;selfishly noon;yellowish;31918.34;16624.53;AMOUNT;26492.33;19131.06;22622.66;15040.89;15573.02;3583.36;3698.91;6013.89;31589.03;DRAFT;RETURN;5551;er searchingly accomplished;railway coin ha;2026-04-20T08:08:22;false;2026-04-19T20:38:48;2026-04-19T22:50:35
8;without;2026-04-19T16:43:39;2026-04-19T16:17:23;vibraphone ah academics;underpants scrutinise;deceivingly;14561.65;13482.04;AMOUNT;13648.1;20484.98;26752.52;29320.89;26132.61;18249.62;3691.39;9174.06;29448.55;CANCELLED;PURCHASE;16135;adolescent near than;provided because tedious;2026-04-20T05:08:35;true;2026-04-20T08:14:58;2026-04-19T12:20:00
9;given;2026-04-19T17:02:40;2026-04-19T16:04:28;ah naturally;ignorance while;trained;32308.65;15990.13;PERCENT;10416.11;16231.13;14405.46;9462.07;23225.71;30994.34;4496.05;10111.76;31565.24;CANCELLED;RETURN;7138;yuck;whoa;2026-04-19T17:23:04;true;2026-04-19T18:34:00;2026-04-19T23:13:09
10;owlishly;2026-04-19T10:27:12;2026-04-19T11:29:55;tabulate for past;yuck gah;excluding;26660.45;5828.41;PERCENT;15174.38;31627.5;17276.69;12119.81;13801.46;30783.19;22443.48;8387.31;9817.72;FINAL;RETURN;30161;pneumonia;since;2026-04-20T09:04:58;true;2026-04-19T17:52:42;2026-04-19T18:31:29
11;meager shred boohoo;2026-04-19T15:59:32;2026-04-19T13:35:04;deceivingly daughter;gestate;aw;23903.04;21052.56;PERCENT;32093.1;26464.25;23218.59;24816.64;5160.78;25034.57;29724.64;8337.94;418.14;DRAFT;PURCHASE;23164;brush towards;till;2026-04-19T12:32:42;false;2026-04-20T08:42:57;2026-04-19T15:33:31
12;as minus;2026-04-19T14:28:25;2026-04-20T03:40:41;wee;before oof;though;17161.9;18841.78;AMOUNT;1427.37;29188.51;29326.64;22666.54;5375.32;29595.66;3912;2984.22;3429.5;DRAFT;PURCHASE;20145;qua at;motivate even usher;2026-04-19T14:59:17;false;2026-04-19T12:37:09;2026-04-19T21:15:38
13;motor;2026-04-19T18:03:07;2026-04-19T23:31:25;silt mystify lace;besides pfft behind;however;20530.14;18570.15;AMOUNT;11593.75;14632.11;22289.82;14576.34;25748.24;16398.94;32330.77;25982.08;21405.01;DRAFT;RETURN;22925;steeple quizzically;enthusiastically cool;2026-04-19T13:00:37;true;2026-04-19T23:09:09;2026-04-20T05:51:19
14;storyboard carouse;2026-04-20T01:32:21;2026-04-20T01:09:37;eek;validity;outflank;3124.25;8260.25;PERCENT;6209.66;3896.77;22254.27;13882.39;8237.49;2514.94;8683.59;4927.17;21397.44;CANCELLED;PURCHASE;23807;unlike as ripe;yet;2026-04-20T06:54:39;false;2026-04-20T02:09:10;2026-04-20T01:38:29
15;quaintly shabby daily;2026-04-19T09:47:40;2026-04-19T21:46:29;because;than important;draft;2472.82;14288.34;PERCENT;20459.98;6564.96;645.63;13337.02;24401.1;32449.86;527.79;8112.63;11628.22;FINAL;PURCHASE;8166;yippee corporation reference;aha duh;2026-04-19T09:13:19;true;2026-04-19T12:25:30;2026-04-19T12:50:58
16;potable formation;2026-04-19T20:05:52;2026-04-19T09:44:51;coaxingly;furthermore french weighty;bah;2759.17;258.31;AMOUNT;5387.45;8400.95;10831.2;26615.98;7578.67;29058.5;16831.83;25348.71;30184.33;CANCELLED;RETURN;17697;meanwhile circa where;yuck;2026-04-19T21:30:58;true;2026-04-20T03:33:39;2026-04-20T03:00:06
17;fine;2026-04-20T04:58:21;2026-04-19T12:28:34;unrealistic microchip;humble hmph yum;profane finally;6161.03;13496.92;PERCENT;28086.88;26351.28;14558.17;31771.54;27894.47;26419.78;5711.09;29457.21;29945.58;DRAFT;PURCHASE;26558;beneath;palate patroller;2026-04-19T21:29:37;false;2026-04-20T07:25:12;2026-04-19T16:29:54
18;bare;2026-04-19T10:35:08;2026-04-20T03:21:22;plan soup;than;after someplace general;25871.84;1683.77;PERCENT;13024.87;23357.99;25048.21;22768.38;22706.21;9365.46;16666.63;2958.41;24232.96;CANCELLED;RETURN;29326;fondly;oof;2026-04-20T01:24:31;true;2026-04-19T23:55:39;2026-04-20T07:42:49
19;biodegradable;2026-04-19T23:03:38;2026-04-20T09:06:52;avow oh than;beyond sizzling meal;pale definite powerfully;27575.75;17240.66;PERCENT;18974.14;13260.55;16181.46;8417.53;94.08;14971.22;9429.57;27516.59;14299.91;DRAFT;PURCHASE;24664;modulo uncommon;ironclad blue very;2026-04-19T20:07:51;false;2026-04-20T01:35:25;2026-04-19T20:51:10
20;apud major;2026-04-19T15:16:33;2026-04-19T22:35:53;normal courageous bleach;psst or;tired lest athwart;11944.56;14258.15;AMOUNT;24276.09;24116.87;8004.87;15518.56;19145.39;30025.75;13332.66;9103.41;29166.42;CANCELLED;PURCHASE;26142;defiantly without;following adaptation;2026-04-20T03:04:22;false;2026-04-19T18:51:52;2026-04-19T14:41:15
21;whoa lest quizzically;2026-04-19T20:44:25;2026-04-20T00:12:27;disloyal slushy pish;and;bob furthermore;13222.4;14384.99;PERCENT;27581.16;3273.24;29516.66;13071.45;4599.82;15978.12;8458.31;2902.45;24577.27;FINAL;PURCHASE;24525;backbone hmph versus;out from astride;2026-04-19T22:26:34;true;2026-04-19T09:09:19;2026-04-19T12:56:26
22;slipper around underneath;2026-04-19T09:41:58;2026-04-20T02:29:13;unlawful produce grass;amid lumpy;than pull;25868.82;17700.77;AMOUNT;2535.98;16078.57;23808.38;6768.61;19292.79;27013.47;6687.16;18266.25;10354.99;CANCELLED;RETURN;887;supposing amidst;unusual weight till;2026-04-19T23:26:15;false;2026-04-19T10:02:24;2026-04-20T00:14:41
23;log less;2026-04-19T18:32:07;2026-04-19T23:28:18;blah;once but towards;cleverly of;24401.09;14497.86;PERCENT;26591.58;21965.72;8987.58;15719.85;10510.93;17833.87;28893.28;27325.19;14034.28;CANCELLED;RETURN;27432;once extremely giving;long physically;2026-04-19T11:13:17;true;2026-04-20T08:33:07;2026-04-19T19:22:27
24;oddball officially;2026-04-19T16:35:08;2026-04-19T19:52:10;following tensely;other clonk;carpool against hungrily;10465.92;23207.56;AMOUNT;3359.64;4788.77;22401.31;12809.74;20867.12;15062.53;29370.04;12040.52;25345.73;DRAFT;RETURN;9961;modulo ouch;masticate velvety;2026-04-20T02:23:22;false;2026-04-19T23:46:53;2026-04-19T13:49:45
25;stingy at than;2026-04-20T01:55:33;2026-04-19T20:00:13;wherever;helpfully;trusty gadzooks that;2505.77;25803.92;AMOUNT;30386.12;29883.21;20886.04;15753.68;29005.47;14858.28;3089.3;13509.5;9171.75;DRAFT;PURCHASE;13696;satirise milky;lest solicit over;2026-04-19T11:14:50;true;2026-04-19T20:23:57;2026-04-19T22:08:47
26;unnecessarily peninsula;2026-04-20T05:26:54;2026-04-19T10:58:44;leap reach;idealistic within hence;woot until;17758.1;2468.48;PERCENT;19884.39;22361.25;14276;17508.73;29285.86;10837.97;26710.34;10075.13;23435.52;CANCELLED;RETURN;7013;ouch pine;round reorganisation;2026-04-19T17:57:23;false;2026-04-20T07:58:34;2026-04-19T09:58:08
27;descent barring supposing;2026-04-20T04:06:22;2026-04-19T11:37:59;milky;geez to;almost off;22715.14;27049.83;AMOUNT;30373.9;25998.41;28030.2;3948.63;6991.16;11489.13;8417.28;13032.98;2182.39;CANCELLED;RETURN;24630;qua;whose alert custody;2026-04-19T19:03:07;true;2026-04-20T08:59:54;2026-04-20T03:09:06
28;verify;2026-04-20T04:47:40;2026-04-20T08:40:57;cruelly rally homely;hearten;unto;3573.61;32509.9;PERCENT;16289.94;3412.09;19788.45;4543.65;3649.72;16312.97;7354.53;18885.48;15158.78;CANCELLED;RETURN;4611;despite duh cinema;reclassify;2026-04-19T17:11:58;true;2026-04-19T12:45:37;2026-04-19T15:11:45
29;apologise decongestant;2026-04-20T02:14:36;2026-04-19T19:48:48;when justly finally;soup;misspend longingly confusion;6982.96;20807.79;PERCENT;12431.26;14536.52;28795.37;31225.83;8207.63;28379.01;26072.5;29651.2;30312.55;FINAL;RETURN;8810;uh-huh;busy difficult verbally;2026-04-19T10:24:40;true;2026-04-20T00:31:54;2026-04-19T11:51:37
30;worth per though;2026-04-20T07:06:14;2026-04-20T08:04:44;roundabout known emboss;joyous excluding;transparency boastfully;29400.34;18257.9;AMOUNT;14973.51;13940.94;19551.46;4063.7;3944.07;23600.53;5451.99;3089.04;21800.65;CANCELLED;PURCHASE;4321;exhaust gaseous;palatable boulevard ew;2026-04-19T16:14:01;true;2026-04-19T19:47:04;2026-04-19T21:26:30
