id;name;qty;unit;rate;discount_kind;discount_value;tax_percent;line_order;purchase_id
1;coolly as;19978.09;jam-packed;19031.34;AMOUNT;2108.64;67.41;27076;1
2;gee glow;18064.88;fat suddenly while;6612.63;AMOUNT;11577.31;24.2;642;2
3;er;13997.12;nervously vainly hor;18854.9;PERCENT;3534.34;84.71;16460;3
4;consequently muted;18543.36;ham;31831.78;PERCENT;165.1;85.62;10288;4
5;behind meanwhile;20454.1;furiously until;16791.24;AMOUNT;15311.73;21.71;27216;5
6;than gee;16804.66;circa phooey granula;26041.39;AMOUNT;19469.77;40.64;10046;6
7;hm anticodon;21194.1;courteous gallery me;9560.62;AMOUNT;7259.65;3.75;12383;7
8;into throughout yuck;18668.57;translation spanish;29089.03;AMOUNT;8732.23;78.29;16652;8
9;ouch ack violent;24543.59;near now easily;24133.62;AMOUNT;27421.19;98.87;27532;9
10;whose far;3469.29;thread jaggedly;8625.12;PERCENT;4489.79;2.64;14755;10
11;before riser upon;850.35;oh trash amidst;28171.48;AMOUNT;14857;85.72;2299;11
12;madly per;24395.57;emergent;21243.7;AMOUNT;5854.54;18.96;18277;12
13;through merrily pepper;27974.57;mmm aw;9477.13;AMOUNT;14646.59;69.76;30810;13
14;honored now;31951.53;meanwhile;26499.84;AMOUNT;31870.67;15.81;4498;14
15;stir-fry qua;30459.45;needily;19706.68;AMOUNT;1084.2;57.16;72;15
16;curse hence sediment;2068.14;orchid impartial ill;1574;PERCENT;3579.25;41.69;8697;16
17;frankly resolve soon;27506.91;among bracelet;5761.33;AMOUNT;9523.12;23.01;4275;17
18;birdbath printer phooey;30992.72;marketplace masquera;3317.47;AMOUNT;23919.51;89.71;10851;18
19;conversation;27198.4;edge;19600.91;AMOUNT;22068.26;47.65;640;19
20;rationalize;5451.77;rationalise;3018.69;PERCENT;23231.76;83.04;5015;20
21;kiddingly;20068.32;mystify behind;11363.06;PERCENT;21512.64;99.17;31522;21
22;awkwardly;15239.95;if;16851.55;PERCENT;6183.01;45.15;18656;22
23;now;25936.72;fall thongs;747.25;PERCENT;23122.93;9.23;20973;23
24;when eek;12711.48;inscribe;19350.59;PERCENT;9408.36;18.21;25713;24
25;drat meanwhile consequently;32292.37;aw;4295.03;AMOUNT;28501.2;75.72;15418;25
26;ugh;24906.71;while apropos bowed;25254.65;PERCENT;6454.18;28.25;20339;26
27;nor defenseless underneath;3417.03;scorpion;10024.66;PERCENT;17362.02;95.36;32613;27
28;really;3784.99;upward;5495.33;PERCENT;18829.96;90.46;31540;28
29;mid;8910.46;strong;19234.13;PERCENT;25488.24;47.93;5919;29
30;boulevard;24570.67;whoever charm whoeve;18269.82;PERCENT;27103.26;78.32;13146;30
