id;date;amount;notes;created_at;updated_at
1;2026-04-20T03:45:18;23931.19;inexperienced tuber;2026-04-20T03:21:06;2026-04-20T06:23:00
2;2026-04-19T17:58:44;13662.66;gleaming;2026-04-19T10:37:39;2026-04-19T13:20:06
3;2026-04-19T10:37:03;22140.53;anti until;2026-04-20T05:31:03;2026-04-20T02:14:11
4;2026-04-20T08:03:13;8754.23;nor gee outrageous;2026-04-20T04:45:02;2026-04-19T11:39:05
5;2026-04-20T08:17:56;17117.57;meanwhile inside;2026-04-19T15:22:07;2026-04-19T18:56:03
6;2026-04-20T04:17:42;22851.02;plain;2026-04-20T06:43:50;2026-04-19T14:37:17
7;2026-04-19T11:56:03;11822.74;lively coaxingly creator;2026-04-19T16:05:59;2026-04-19T13:04:39
8;2026-04-19T11:05:06;17099.19;finally;2026-04-19T11:28:49;2026-04-19T16:51:14
9;2026-04-19T11:21:33;2077.48;hence though;2026-04-19T12:10:20;2026-04-19T11:52:51
10;2026-04-20T00:53:09;8365.74;correctly yum;2026-04-19T12:18:12;2026-04-20T03:20:25
11;2026-04-19T10:43:44;28131.93;offensively stitcher;2026-04-19T12:14:57;2026-04-20T01:36:55
12;2026-04-19T11:08:01;29477.61;hence airport elegant;2026-04-20T06:25:24;2026-04-19T11:25:23
13;2026-04-19T14:54:13;5830.52;judgementally inure jell;2026-04-20T00:42:29;2026-04-19T15:11:52
14;2026-04-20T00:11:22;13176.45;finally than within;2026-04-20T07:43:18;2026-04-20T08:31:55
15;2026-04-19T16:28:54;23261.06;rue antagonize lighthearted;2026-04-19T15:52:28;2026-04-19T16:00:05
16;2026-04-19T12:55:47;9675.03;helplessly when imagineer;2026-04-20T06:46:15;2026-04-20T00:56:58
17;2026-04-20T04:20:44;29073.27;hence;2026-04-19T15:35:29;2026-04-19T12:25:57
18;2026-04-20T08:51:51;26839.14;simple yuck curiously;2026-04-20T04:24:46;2026-04-19T16:24:33
19;2026-04-19T10:50:30;9101.32;acceptable tapioca cappelletti;2026-04-19T20:19:47;2026-04-20T00:34:52
20;2026-04-19T18:06:12;10696.5;lock pinion;2026-04-19T14:21:52;2026-04-20T01:42:59
21;2026-04-19T20:37:37;31888.74;long barring;2026-04-20T06:14:18;2026-04-19T12:45:23
22;2026-04-19T19:12:19;8448.53;than;2026-04-20T01:21:53;2026-04-20T00:42:44
23;2026-04-19T15:38:14;19637.39;but;2026-04-19T22:54:04;2026-04-19T19:25:00
24;2026-04-19T17:32:43;18786.84;prickly mmm unselfish;2026-04-20T07:59:58;2026-04-19T22:31:31
25;2026-04-19T17:38:48;6442.7;regarding blah cleverly;2026-04-19T18:04:12;2026-04-19T12:57:38
26;2026-04-20T01:55:34;20391.87;iterate;2026-04-19T15:35:01;2026-04-19T10:12:03
27;2026-04-20T02:17:20;27684.18;newsprint;2026-04-20T02:16:07;2026-04-19T11:37:46
28;2026-04-19T17:22:21;10496.56;tightly since;2026-04-20T07:14:23;2026-04-19T09:46:33
29;2026-04-20T01:45:50;14141.01;energetic;2026-04-19T20:10:08;2026-04-20T07:45:41
30;2026-04-19T15:43:08;29993.16;so;2026-04-19T14:15:22;2026-04-19T19:46:51
